7.011815904022379909e-06 1.545546438051983865e-03
7.342272606779160129e-06 1.790808962557635014e-03
7.688303254130557306e-06 2.047256170899854934e-03
8.050641823472736962e-06 2.314322299531894247e-03
8.430056883490853428e-06 2.591606013532584112e-03
8.827353224396269234e-06 2.878850040806980697e-03
9.243373564994492611e-06 3.175924467210594539e-03
9.679000340204750691e-06 3.482812894697135449e-03
1.013515757282276440e-05 3.799598795110406720e-03
1.061281283349698019e-05 4.126456761197319287e-03
1.111297929307564714e-05 4.463642601152210780e-03
1.163671787167801603e-05 4.811484639098836773e-03
1.218513948904815468e-05 5.170378962515384882e-03
1.275940742096467438e-05 5.540783544611009581e-03
1.336073976670461397e-05 5.923213297335236383e-03
1.399041203279531687e-05 6.318237334206673605e-03
1.464975983853479555e-05 6.726475260427971711e-03
1.534018174901932322e-05 7.148595480541034691e-03
1.606314224168751273e-05 7.585313213153974284e-03
1.682017481267331752e-05 8.037389316529208044e-03
1.761288522955692422e-05 8.505629533460993055e-03
1.844295493741307740e-05 8.990884144671926551e-03
1.931214462538152622e-05 9.494049358222783966e-03
2.022229796132474230e-05 1.001606179371425376e-02
2.117534550249464568e-05 1.055790585827229809e-02
2.217330879050336275e-05 1.112061544337188297e-02
2.321830463928403439e-05 1.170526873792309026e-02
2.431254962513695810e-05 1.231298884523005649e-02
2.545836478838510588e-05 1.294495364063179277e-02
2.665818055661184512e-05 1.360239148598060832e-02
2.791454189992368412e-05 1.428658246514335345e-02
2.923011372917308867e-05 1.499886485015843908e-02
3.060768654859167957e-05 1.574063291312769591e-02
3.205018237482386067e-05 1.651334144848334157e-02
3.356066093491584371e-05 1.731850804169486613e-02
3.514232615640697330e-05 1.815771564821230116e-02
3.679853296328958569e-05 1.903261553700335423e-02
3.853279439225259091e-05 1.994493037334269664e-02
4.034878904430330503e-05 2.089645739869921276e-02
4.225036888757337087e-05 2.188907157637050641e-02
4.424156742785960775e-05 2.292473064922936205e-02
4.632660826423060633e-05 2.400547549444697823e-02
4.850991404784660028e-05 2.513343849997911467e-02
5.079611586299554821e-05 2.631084192076380002e-02
5.319006305024380195e-05 2.754001128001919846e-02
5.569683349253759237e-05 2.882336914737629319e-02
5.832174438607360718e-05 3.016344655457425111e-02
6.107036351878496216e-05 3.156288750055898790e-02
6.394852108036592716e-05 3.302445051463548387e-02
6.696232202888592524e-05 3.455101967177991867e-02
7.011815904022408708e-05 3.614560324596015339e-02
7.342272606779189775e-05 3.781134732740851906e-02
7.688303254130587460e-05 3.955153466001418150e-02
8.050641823472768472e-05 4.136959559714956797e-02
8.430056883490886631e-05 4.326911421056326562e-02
8.827353224396304132e-05 4.525383510666111664e-02
9.243373564994529880e-05 4.732766826322670761e-02
9.679000340204790332e-05 4.949470020227316608e-02
1.013515757282280573e-04 5.175920001785086488e-02
1.061281283349702526e-04 5.412562915144545489e-02
1.111297929307569288e-04 5.659864772615276485e-02
